store_prod_name,parent_tag,,,
Burger King 漢堡王 - 重磅培根雙層辣雞堡,餐飲,,,
Burger King 漢堡王 - 黃金炸雞分享餐,餐飲,,,
Burger King 漢堡王 - 花生安格斯牛肉堡,餐飲,,,
Burger King 漢堡王 - 重磅培根雙層辣雞堡,餐飲,,,
Burger King 漢堡王 - 黃金炸雞分享餐,餐飲,,,
Burger King 漢堡王 - 花生安格斯牛肉堡,餐飲,,,
 dé PLACE 德普雷斯 - 現場 500 元折抵 - 2,餐飲,,,
 i River 愛河牛排海鮮自助餐廳 (原高雄國賓 Market Cafe) - 高雄【 i River 愛河牛排海鮮自助餐廳 (原高雄國賓 Market Cafe)】EZTABLE 獨家方案，平日下午茶吃到飽特別優惠價 $589 /人 (已含服務費) (原價 $638) - 2,餐飲,,,
[TW Testing] Activity - [測試標題]台灣美食測試活動 - 1,餐飲,,,
【包廂】Orchid Restaurant 蘭 - 台北【Orchid Restaurant 蘭】EZTABLE 包廂方案，預付$5000/組，享結帳 95 折！ - 1,餐飲,,,
【包廂】燈燈庵 Tou Tou An - 台北【燈燈庵 Tou Tou An】EZTABLE 包廂方案，預付$4000/組，可抵現場消費$5000，搶先預訂獨立包廂！(2~3人適用) - 1,餐飲,,,
【外帶自取】漢來海港餐廳-天母店 (台北天母 SOGO 7F) - 全台【漢來海港】EZTABLE 外帶自取，海派日式便當 $200/個，內含：特製雙主菜、綜合壽司、日式小菜、每日湯品。 - 5,餐飲,,,
【外帶自取】漢來海港餐廳-漢來店 (漢來大飯店 43F) - 全台【漢來海港】EZTABLE 外帶自取，海派日式便當 $200/個，內含：特製雙主菜、綜合壽司、日式小菜、每日湯品。 - 3,餐飲,,,
【外帶自取】饗食天堂 - 台北信義店 - 全台【饗食天堂】EZTABLE 外帶自取，EAT豪邁 獨饗餐盒，三主菜+五配菜(不含牛肉版) NT$280/個  - 1,餐飲,,,
【外帶自取】饗食天堂 - 桃園中壢SOGO店 - 全台【饗食天堂】EZTABLE 外帶自取，EAT豪邁 獨饗餐盒，三主菜+五配菜(不含牛肉版) NT$280/個  - 1<br>全台【饗食天堂】EZTABLE 外帶自取，EAT澎湃 獨饗餐盒，三主菜+五配菜(含牛肉版)NT$300/個  - 1,餐飲,,,
【外帶自取】饗泰多 - 統領店 - 全台【饗泰多】EZTABLE 外帶自取，四人套餐，內含6菜、白飯4碗 $1850/份 - 1,餐飲,,,
3 Idiots Toast & Curry 三個傻瓜印度蔬食 - 原味薄餅 / plain dosa - 2<br>咖哩杏鮑菇 / curry mushroom - 1<br>香料茄子 / masala egg plant - 1,餐飲,,,
50樓Cafe 自助餐廳 - Mega 50餐飲及宴會 - 【50樓Cafe - Mega 50餐飲及宴會】EZTABLE 2019 聖誕跨年優惠，平日午餐 $760 /人 (原價 $879 ) - 3,餐飲,,,
50樓Cafe 自助餐廳 - Mega 50餐飲及宴會 - 【50樓Cafe - Mega 50餐飲及宴會】EZTABLE 2019 聖誕跨年優惠，平日晚餐、假日午餐 $860 /人 (原價 $989 ) - 1,餐飲,,,
50樓Cafe 自助餐廳 - Mega 50餐飲及宴會 - 【50樓Cafe - Mega 50餐飲及宴會】EZTABLE 2019 聖誕跨年優惠，平日晚餐、假日午餐 $860 /人 (原價 $989 ) - 4,餐飲,,,
