seg_word,count_word,,,
  dé   PLACE   德普雷斯  -  現場   500   元 折抵  -  2,15,,,
  i   River   愛河牛 排 海鮮 自助 餐廳   ( 原 高雄 國賓   Market   Cafe )  -  高雄 【   i   River   愛河牛 排 海鮮 自助 餐廳   ( 原 高雄 國賓   Market   Cafe ) 】 EZTABLE   獨家 方案 ， 平日 下午 茶 吃 到 飽 特別 優惠價   $ 589   / 人   ( 已 含 服務費 ) ( 原價   $ 638 ) -  2,75,,,
[ TW   Testing ]   Activity  -   [ 測試 標題 ] 台灣 美食 測試 活動  -  1,19,,,
【 包廂 】 Orchid   Restaurant   蘭  -  台北 【 Orchid   Restaurant   蘭 】 EZTABLE   包廂 方案 ， 預付$ 5000/組 ， 享結帳   95   折 ！  -  1,33,,,
【 包廂 】 燈燈庵   Tou   Tou   An  -  台北 【 燈燈庵   Tou   Tou   An】EZTABLE   包廂 方案 ， 預付$ 4000/組 ， 可 抵 現場 消費$ 5000 ， 搶先 預訂 獨立 包廂 ！ ( 2~3 人 適用 ) -  1,44,,,
【 外帶 自取 】 漢來 海港 餐廳 - 天母店   ( 台北 天母   SOGO   7 F )  -  全台 【 漢來 海港 】 EZTABLE   外帶 自取 ， 海派 日式 便 當   $ 200/ 個 ， 內含 ： 特製 雙主菜 、 綜合 壽司 、 日式 小菜 、 每日 湯品 。 -  5,54,,,
【 外帶 自取 】 漢來 海港 餐廳 - 漢來店   ( 漢來 大飯店   43 F )  -  全台 【 漢來 海港 】 EZTABLE   外帶 自取 ， 海派 日式 便 當   $ 200/ 個 ， 內含 ： 特製 雙主菜 、 綜合 壽司 、 日式 小菜 、 每日 湯品 。 -  3,52,,,
【 外帶 自取 】 饗食 天堂  -  台北 信義店  -  全台 【 饗食 天堂 】 EZTABLE   外帶 自取 ， EAT 豪邁   獨饗 餐盒 ， 三 主 菜+ 五 配 菜 ( 不 含 牛肉版 )   NT$ 280/ 個   -  1,43,,,
【 外帶 自取 】 饗食 天堂  -  桃園 中壢 SOGO 店  -  全台 【 饗食 天堂 】 EZTABLE   外帶 自取 ， EAT 豪邁   獨饗 餐盒 ， 三 主 菜+ 五 配 菜 ( 不 含 牛肉版 )   NT$ 280/ 個   -  1 < br > 全台 【 饗食 天堂 】 EZTABLE   外帶 自取 ， EAT 澎湃   獨饗 餐盒 ， 三 主 菜+ 五 配 菜 ( 含 牛肉版 ) NT$ 300/ 個   -  1,79,,,
【 外帶 自取 】 饗泰多  -  統領店  -  全台 【 饗泰多 】 EZTABLE   外帶 自取 ， 四 人 套餐 ， 內含 6 菜 、 白飯 4 碗   $ 1850/ 份  -  1,34,,,
3   Idiots   Toast   &   Curry   三 個 傻瓜 印度 蔬食  -  原味 薄餅   /   plain   dosa   -   2 < br > 咖哩 杏鮑菇   /   curry   mushroom  -   1 < br > 香料 茄子   /   masala   egg   plant  -   1,58,,,
50 樓 Cafe   自助 餐廳  -  Mega   50 餐飲 及 宴會  -  【 50 樓 Cafe  -   Mega   50 餐飲 及 宴會 】 EZTABLE   2019   聖誕 跨年 優惠 ， 平日 午餐   $ 760   / 人   ( 原價   $ 879   ) -  3,52,,,
50 樓 Cafe   自助 餐廳  -  Mega   50 餐飲 及 宴會  -  【 50 樓 Cafe  -   Mega   50 餐飲 及 宴會 】 EZTABLE   2019   聖誕 跨年 優惠 ， 平日 晚餐 、 假日 午餐   $ 860   / 人   ( 原價   $ 989   ) -  1,55,,,
50 樓 Cafe   自助 餐廳  -  Mega   50 餐飲 及 宴會  -  【 50 樓 Cafe  -   Mega   50 餐飲 及 宴會 】 EZTABLE   2019   聖誕 跨年 優惠 ， 平日 晚餐 、 假日 午餐   $ 860   / 人   ( 原價   $ 989   ) -  4,55,,,
50 樓 Cafe   自助 餐廳  -  Mega   50 餐飲 及 宴會  -  【 50 樓 Cafe  -   Mega   50 餐飲 及 宴會 】 EZTABLE   2020   花賞 美食節 ， 預付 平日 晚餐 、 假日 午餐 吃 到 飽   優惠價   $ 890   / 人   ( 原價   $ 989   ) -  1 < br > 【 50 樓 Cafe  -   Mega   50 餐飲 及 宴會 】 EZTABLE   2020   花賞 美食節 ， 預付 平日 晚餐 、 假日 午餐 吃 到 飽   優惠價   $ 764   / 人   ( 原價   $ 989  ) （ 年滿 70 歲 ( 含 ) 以上 長者 適用 ） -  2,119,,,
50 樓 Cafe   自助 餐廳  -  Mega   50 餐飲 及 宴會  -  【 50 樓 Cafe  -   Mega   50 餐飲 及 宴會 】 EZTABLE   獨家 方案 ， 平日 午餐   $ 754   / 人   ( 原價   $ 879   ) -  2,49,,,
50 樓 Cafe   自助 餐廳  -  Mega   50 餐飲 及 宴會  -  【 50 樓 Cafe  -   Mega   50 餐飲 及 宴會 】 EZTABLE   獨家 方案 ， 平日 晚餐 、 假日 午餐   $ 890   / 人   ( 原價   $ 989   ) -  4,52,,,
50 樓 Cafe   自助 餐廳  -  Mega   50 餐飲 及 宴會  -  【 50 樓 Cafe  -   Mega   50 餐飲 及 宴會 】 EZTABLE   獨家 方案 ， 假日 晚餐   $ 990   / 人   ( 原價   $ 1099   ) -  1,49,,,
6   星集   八德 會館  -  全身 按摩   60   min  -   1,16,,,
6   星集   民權 會館  -  全身 按摩   60   min  -   1,16,,,
6   星集   民權 會館  -  腳底 按摩   60   min  -   1,16,,,
6   星集   安和 會館  -  全身 按摩   60   min  -   1,16,,,
6   星集   安和 會館  -  腳底 按摩   60   min  -   1,16,,,
6   星集   南京 會館  -  全身 按摩   60   min  -   1,16,,,
6   星集   南京 會館  -  腳底 按摩   60   min  -   1,16,,,
77 's   Bistro   &   Bar  -   現場 折抵   300   元  -  2,18,,,
77 's   Bistro   &   Bar  -  微醺 調酒   2   杯  -  1,17,,,
A&A   Beauty   Salon   -   日式 輕柔無感美睫   120   根  -  1,16,,,
A.T   Spa  -  極致 潤澤 臉部 保養   120   min  -   1,15,,,
ABBA   氧生艙  -  全身 律動 舒壓   SPA   +   氧生艙   120   min  -   1,20,,,
ABBA   氧生艙  -  頂級 氧氣艙 放鬆 舒眠   60   min  -   1,15,,,
About   hair   雅柏 造型店  -  精油 洗髮   +   造型 剪髮  -  1,16,,,
Addiction   hairstyle   -   洗   +   剪   +   Fiole   護髮  -  1,19,,,
Addiction   hairstyle   -   洗   +   剪   +   燙  (  溫塑捲   /   直 髮 燙  ) -  1,25,,,
Air - Gene   彈翻 健身 育樂 中心  -  跳跳 床初 體驗  1.5   h  (   1 - 4 人 ) -  2,23,,,
Air - Gene   彈翻 健身 育樂 中心  -  跳跳 床初 體驗  1.5   h  (   1 - 4 人 ) -  3,23,,,
Air - Gene   彈翻 健身 育樂 中心  -  跳跳 床初 體驗  1.5   h  (   1 - 4 人 ) -  4,23,,,
Air - Gene   彈翻 健身 育樂 中心  -  跳跳 床初 體驗  1.5   h  (   1 - 4 人 ) -  5,23,,,
Air - Gene   彈翻 健身 育樂 中心   台南店  -  跳跳 床初 體驗   1.5h  -   2,19,,,
Al   revés 顛倒 餐廳  -  台北 【 Al   revés 顛倒 餐廳 】 EZTABLE   2019   線 上 美食 旅展 ， 預付$ 285/ 人 ， 可 抵 現場 消費$ 350 ！  -  3,35,,,
